Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,77.8,12.4,9.8
random,2,77.10000000000001,15.0,7.9
random,3,77.60000000000001,15.0,7.3999999999999995
random,4,79.5,13.900000000000002,6.6000000000000005
random,5,80.80000000000001,12.3,6.9
clustered,1,79.3,16.5,4.2
clustered,2,76.6,17.1,6.3
clustered,3,79.4,16.0,4.6
clustered,4,79.4,17.4,3.2
clustered,5,80.7,16.6,2.7
