Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,3.0,97.0,0.0
random,2,2.0,98.0,0.0
random,3,2.0,98.0,0.0
clustered,1,3.0,97.0,0.0
clustered,2,2.0,98.0,0.0
clustered,3,2.0,98.0,0.0
