Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,2.9413,3.4941,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_1,2.7725,3.7627,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_2,3.0853,2.1754,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_3,3.9022,3.7832,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_4,3.8678,2.3564,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_5,2.9649,3.7366,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_6,4.5366,4.1366,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_7,2.4156,4.7743,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_8,4.6735,4.1453,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
0,drone_9,3.6378,3.5802,17.0000,17.0000,"7.935,10.995,0.988;6.230,12.567,0.647;10.406,12.896,0.830;13.092,8.021,0.563;8.083,12.660,1.156;6.002,8.295,0.581;5.418,10.548,1.483"
