Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,6.499,3.788,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_1,6.396,2.107,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_2,6.295,2.723,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_3,5.617,2.075,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_4,4.565,3.495,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_5,5.271,4.248,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_6,5.033,2.859,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_7,4.648,1.888,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_8,7.174,4.698,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
0,drone_9,7.118,2.621,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
1,drone_0,6.599,3.888,14.298,16.918,"14.932969246166424,3.362821402613016,0.3816086414600762;14.727241788604523,6.2217101258985155,0.33588785624899986;16.47633559717896,11.29329835147556,0.6513078911961001;14.317706372386315,6.611648808088892,2.483629583606359;6.099060590068321,8.516972290301414,1.8724194974175954;8.949084198918895,14.623160277246484,2.3779106339872884;17.43851741210314,5.21704933101318,2.3779066260235666;4.167224684918091,2.0142520481867887,0.25214767561911644;12.236818714868782,10.75678505471959,1.008723897022191;15.923447730813939,12.712664780008078,0.4548095523955716;2.552418213139462,11.567272314320718,2.1540037144824753"
