density,f,deception,honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_success,drop_vs_baseline
0.2,3,both,94.85714285714286,2.142857142857143,3.0,0.9285714285714286,95.55,0.69
0.3,3,both,91.07142857142857,5.285714285714286,3.642857142857143,1.5714285714285714,91.1,0.03
