density,lidar_range,comm_range,pct_steps_annulus_ge1,mean_in_annulus,mean_nearest5_in_annulus,n_samples
0.2,4.0,8.0,23.41425215348473,0.5356303837118246,0.0274079874706343,1277
0.2,4.0,10.0,23.41425215348473,0.5356303837118246,0.0274079874706343,1277
0.2,4.0,12.0,23.41425215348473,0.5356303837118246,0.0274079874706343,1277
0.2,5.0,8.0,10.493343774471418,0.1754111198120595,0.0,1277
0.2,5.0,10.0,10.493343774471418,0.1754111198120595,0.0,1277
0.2,5.0,12.0,10.493343774471418,0.1754111198120595,0.0,1277
0.2,6.0,8.0,2.5841816758026623,0.031323414252153486,0.0,1277
0.2,6.0,10.0,2.5841816758026623,0.031323414252153486,0.0,1277
0.2,6.0,12.0,2.5841816758026623,0.031323414252153486,0.0,1277
0.3,4.0,8.0,61.19144013880856,1.3001735106998265,0.2556390977443609,1729
0.3,4.0,10.0,61.19144013880856,1.3186813186813187,0.2556390977443609,1729
0.3,4.0,12.0,61.19144013880856,1.3186813186813187,0.2556390977443609,1729
0.3,5.0,8.0,33.48756506651244,0.5448235974551764,0.05725853094274147,1729
0.3,5.0,10.0,33.48756506651244,0.5633314054366686,0.05725853094274147,1729
0.3,5.0,12.0,33.48756506651244,0.5633314054366686,0.05725853094274147,1729
0.3,6.0,8.0,14.864083285135917,0.20589936379410065,0.006362058993637941,1729
0.3,6.0,10.0,15.211104684788895,0.22440717177559283,0.006362058993637941,1729
0.3,6.0,12.0,15.211104684788895,0.22440717177559283,0.006362058993637941,1729
