density,f,boost,oracle_success,timeout,collision,collision_drone,collision_obstacle,dist_to_rammer_at_collision
0.2,2,1.4,77.375,2.1875,20.4375,18.8125,1.625,82568807.69953363
0.3,2,1.4,73.5,4.375,22.125,19.4375,2.625,95447871.17503671
