density,f,defense,oracle_honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_success,W,block_gap
0.2,2,coord_interpose,77.0,2.0625,20.9375,18.4375,95.55,1.0,0.5
0.3,2,coord_interpose,71.9375,5.125,22.9375,20.3125,91.1,1.0,0.5
