density,f,behavior,honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_success,drop_vs_baseline
0.2,2,ram,80.4375,2.5625,17.0,15.875,95.55,15.11
0.3,2,ram,74.375,5.75,19.875,17.3125,91.1,16.72
