density,f,comm_range,honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_no_rammer
0.2,2,8.0,75.41666666666667,4.583333333333333,20.0,19.583333333333332,95.55
0.3,2,8.0,75.41666666666667,3.3333333333333335,21.25,18.333333333333332,91.1
0.2,2,12.0,75.0,4.166666666666667,20.833333333333332,20.416666666666668,95.55
0.3,2,12.0,75.0,2.9166666666666665,22.083333333333332,18.75,91.1
0.2,2,16.0,75.0,4.166666666666667,20.833333333333332,20.416666666666668,95.55
0.3,2,16.0,75.0,2.9166666666666665,22.083333333333332,18.75,91.1
0.2,2,20.0,75.0,4.166666666666667,20.833333333333332,20.416666666666668,95.55
0.3,2,20.0,75.0,2.9166666666666665,22.083333333333332,18.75,91.1
