density,f,boost,oracle_success,timeout,collision,collision_drone,collision_obstacle,dist_to_rammer_at_collision
0.2,2,1.5,79.1875,2.4375,18.375,13.4375,4.9375,54421769.90798675
0.3,2,1.5,73.375,4.9375,21.6875,15.5,6.125,70202809.31809083
