density,f,evade_dist,oracle_honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_success
0.2,2,2.0,77.91666666666667,3.75,18.333333333333332,11.25,95.55
0.3,2,2.0,74.58333333333333,1.25,24.166666666666668,12.916666666666666,91.1
