density,f,evasion,oracle_honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_success
0.2,2,smart_lidar,79.6875,4.3125,16.0,13.125,95.55
0.3,2,smart_lidar,73.75,5.5,20.75,17.25,91.1
