density,f,deception,honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_success,drop_vs_baseline
0.2,2,false_position,95.375,2.125,2.5,0.875,95.55,0.17
0.3,2,false_position,91.3125,5.625,3.0625,1.0625,91.1,-0.21
