density,f,behavior,honest_success,honest_timeout,honest_collision,honest_drone_collision,baseline_success,drop_vs_baseline
0.2,2,ram,77.375,2.1875,20.4375,18.8125,95.55,18.17
0.3,2,ram,73.5,4.375,22.125,19.4375,91.1,17.6
