density,lidar_range,comm_range,pct_steps_annulus_ge1,mean_in_annulus,mean_nearest5_in_annulus,n_samples
0.2,4.0,8.0,29.291611109535022,0.632925756759057,0.16037334392465036,35249
0.2,4.0,10.0,32.62220204828506,0.7419784958438538,0.20045958750602855,35249
0.2,4.0,12.0,33.62364889784107,0.7890720304122103,0.21061590399727653,35249
0.2,5.0,8.0,17.591988425203553,0.32653408607336376,0.08479673182217935,35249
0.2,5.0,10.0,21.46443870748106,0.4355868251581605,0.12488297540355754,35249
0.2,5.0,12.0,22.823342506170388,0.48268035972651707,0.1350392918948055,35249
0.2,6.0,8.0,9.719424664529491,0.1485999602825612,0.04286646429685949,35249
0.2,6.0,10.0,14.238701807143466,0.25765269936735796,0.08295270787823768,35249
0.2,6.0,12.0,15.85860591789838,0.3047462339357145,0.09310902436948566,35249
0.3,4.0,8.0,40.52464947987336,0.9078417436626391,0.34765566108849694,46431
0.3,4.0,10.0,42.01503305980918,1.0734207749133122,0.424716245611768,46431
0.3,4.0,12.0,42.08825999870776,1.0883246107126705,0.42682690443884475,46431
0.3,5.0,8.0,27.608709698261936,0.5351596993388038,0.225345135792897,46431
0.3,5.0,10.0,29.844285068165664,0.7007387305894769,0.3024057203161681,46431
0.3,5.0,12.0,29.947664276022486,0.715642566388835,0.3045163791432448,46431
0.3,6.0,8.0,17.940600030152268,0.28946178199909545,0.1343498955439254,46431
0.3,6.0,10.0,21.429648295319936,0.45504081324976847,0.21141048006719648,46431
0.3,6.0,12.0,21.56748723912903,0.46994464904912664,0.2135211388942732,46431
