condition,oracle_active,lidar_range,comm_range,density,n_maps,success,timeout,collision,collision_drone,collision_obstacle,collision_wall,oracle_triggers
baseline_lidar4,False,4.0,10.0,0.2,30,73.66666666666667,0.6666666666666666,25.666666666666668,7.333333333333333,18.333333333333332,0.0,0
baseline_lidar4,False,4.0,10.0,0.3,30,81.0,0.0,19.0,5.333333333333333,13.333333333333334,0.3333333333333333,0
oracle_comm_annulus,True,4.0,10.0,0.2,30,73.0,0.0,27.0,8.0,19.0,0.0,103
oracle_comm_annulus,True,4.0,10.0,0.3,30,81.66666666666667,0.0,18.333333333333332,4.0,14.0,0.3333333333333333,126
