Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.6261,3.1999,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_1,3.9124,4.7466,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_2,4.3007,2.4165,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_3,2.0931,3.3781,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_4,4.5791,3.9436,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_5,2.7422,3.9119,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_6,3.0620,4.7432,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_7,2.4143,2.4763,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_8,2.1338,4.8032,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
0,drone_9,4.7161,4.8304,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
1,drone_0,3.7261,3.2682,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
1,drone_1,3.9412,4.8466,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
1,drone_2,4.4007,2.5049,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
1,drone_3,2.1931,3.4768,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
1,drone_4,4.6791,4.0427,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
1,drone_5,2.8422,3.9969,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
1,drone_6,3.1122,4.8432,17.0000,17.0000,"8.110,7.644,0.775;10.206,14.743,0.929;12.728,5.675,0.720;8.290,12.242,0.735;13.980,14.115,0.934;13.260,9.901,0.596;12.180,13.398,1.201"
