Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.1513,4.5677,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_1,4.5631,3.4034,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_2,3.1731,4.3119,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_3,2.0065,3.1904,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_4,2.0147,3.4375,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_5,4.8179,4.4702,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_6,3.3895,3.0669,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_7,2.2682,4.5823,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_8,2.6918,3.8174,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
0,drone_9,2.4509,2.8862,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
1,drone_0,-100.0000,-100.0000,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
1,drone_1,4.6369,3.4243,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
1,drone_2,-100.0000,-100.0000,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
1,drone_3,-100.0000,-100.0000,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
1,drone_4,-100.0000,-100.0000,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
1,drone_5,4.8836,4.5155,17.0000,17.0000,"9.877,5.990,0.902;5.649,13.501,1.009;5.620,10.148,1.291;14.561,10.047,0.723;13.032,7.520,1.203;7.101,11.691,1.383;13.447,13.725,0.784"
