Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,81.2,3.4000000000000004,15.4
random,2,78.8,6.3,14.899999999999999
random,3,81.3,4.3999999999999995,14.299999999999999
random,4,79.4,5.4,15.2
random,5,79.0,6.1,14.899999999999999
clustered,1,83.89999999999999,7.5,8.6
clustered,2,82.89999999999999,5.6000000000000005,11.5
clustered,3,80.80000000000001,5.4,13.8
clustered,4,86.5,4.1000000000000005,9.4
clustered,5,85.8,4.6,9.6
