Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,15.123,2.251,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_1,15.889,4.206,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_2,14.285,4.846,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_3,14.897,3.574,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_4,15.136,4.902,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_5,13.858,2.640,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_6,13.035,3.729,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_7,15.816,3.499,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_8,15.867,2.669,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
0,drone_9,14.278,3.893,8.849,10.215,"14.499986957335688,11.443615107765142,1.3687181232217218;6.798419490271259,16.263293109200802,2.2281521805517452;9.635251048942223,15.65247929380844,0.3672068700924357;16.798362771311094,6.868491145847614,2.209899378463322;2.978564917209324,16.702461244511937,1.1494487070566968;11.41223861638937,18.269956720015873,0.21031408810202165;6.364894370893186,13.849789045224483,2.1371472086895795;11.091146294183533,2.3663935801416938,1.196217955483148;2.783814860335773,9.684836709343859,2.2058041497058416;16.390334943055215,8.884759371149723,2.0730602676204883"
