Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,13.7730,14.1238,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_1,5.2091,9.8325,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_2,4.9055,13.6290,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_3,11.2418,11.1814,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_4,1.3623,2.7636,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_5,16.8018,7.6586,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_6,4.7214,18.7868,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_7,6.2314,7.6596,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_8,6.6385,10.8211,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
0,drone_9,11.4610,11.9987,14.3632,3.8899,"2.353,13.608,1.556;6.578,1.168,0.959;17.898,16.865,1.748;7.562,15.764,2.233;19.658,8.472,0.626;11.129,6.328,0.377;1.273,3.702,0.389;8.381,2.785,1.197;14.484,8.912,1.229;9.429,7.533,2.217;4.648,4.028,0.268;18.192,3.668,0.670;9.477,0.629,0.445;7.873,18.130,1.162;5.136,1.863,0.324;13.204,13.342,0.601;17.435,11.748,0.466;19.751,12.315,0.273;5.829,15.432,1.170;18.656,7.563,0.372;11.250,4.212,0.373;3.927,4.227,0.498;11.118,3.730,0.242;0.880,4.629,1.332;11.047,2.832,0.321;16.820,16.132,1.553;8.405,18.774,2.289;4.063,18.956,0.221;7.908,10.062,0.319;18.658,4.823,1.108;17.951,1.323,2.169;18.249,9.793,1.833;11.405,3.444,0.961;2.753,15.166,2.220;17.681,9.765,1.538;19.359,15.956,0.953;15.497,1.475,0.609;14.856,11.943,0.429;5.707,17.133,1.564;1.202,13.102,0.439;13.081,11.432,1.018;16.874,11.837,0.836;6.169,13.741,0.339;13.737,19.254,0.626"
