Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,9.910,4.134,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_1,8.437,6.735,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_2,11.035,6.235,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_3,8.936,4.621,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_4,10.871,4.756,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_5,8.973,5.906,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_6,9.480,5.561,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_7,8.509,5.254,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_8,9.851,6.149,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
0,drone_9,10.296,5.013,18.105,10.839,"16.42976417872957,4.042343677157758,2.2883513856451057;11.70961088379626,17.28373247524529,2.374181331980377;8.191077842749824,16.473110887978567,2.4625117788506037;3.547399621489315,9.82531016003892,1.3274111175779906;1.457792108118801,16.63288099792485,0.215712275728266;4.0442090433167,10.537994768923483,1.2349915034735497;5.200468154069095,10.458780877358748,1.9638252522506283;10.424083406102698,7.899638055297764,1.6026562130977482"
