  (swarm_rl) PS D:\Swarm\BTP\Phase B\Phase_B5_Synchronization\v10_IEEE_Final\Claud> python validate_topology_regime.py

  --- Validating Regime: 30.0x30.0 | Density: 0.20 ---
    [INFO] Computational Raster Resolution: 0.1m
    Attempt 12 -> Valid: 10/500 (Rejects: 0 corridor, 2 reachability)
    Attempt 22 -> Valid: 20/500 (Rejects: 0 corridor, 2 reachability)
    Attempt 33 -> Valid: 30/500 (Rejects: 0 corridor, 3 reachability)
    Attempt 46 -> Valid: 40/500 (Rejects: 0 corridor, 6 reachability)
    Attempt 56 -> Valid: 50/500 (Rejects: 0 corridor, 6 reachability)
    Attempt 68 -> Valid: 60/500 (Rejects: 0 corridor, 8 reachability)
    Attempt 80 -> Valid: 70/500 (Rejects: 0 corridor, 10 reachability)
    Attempt 91 -> Valid: 80/500 (Rejects: 0 corridor, 11 reachability)
    Attempt 103 -> Valid: 90/500 (Rejects: 0 corridor, 13 reachability)
    Attempt 118 -> Valid: 100/500 (Rejects: 0 corridor, 18 reachability)
    Attempt 129 -> Valid: 110/500 (Rejects: 0 corridor, 19 reachability)
    Attempt 140 -> Valid: 120/500 (Rejects: 0 corridor, 20 reachability)
    Attempt 151 -> Valid: 130/500 (Rejects: 0 corridor, 21 reachability)
    Attempt 162 -> Valid: 140/500 (Rejects: 0 corridor, 22 reachability)
    Attempt 174 -> Valid: 150/500 (Rejects: 0 corridor, 24 reachability)
    Attempt 187 -> Valid: 160/500 (Rejects: 0 corridor, 27 reachability)
    Attempt 199 -> Valid: 170/500 (Rejects: 0 corridor, 29 reachability)
    Attempt 209 -> Valid: 180/500 (Rejects: 0 corridor, 29 reachability)
    Attempt 220 -> Valid: 190/500 (Rejects: 0 corridor, 30 reachability)
    Attempt 232 -> Valid: 200/500 (Rejects: 0 corridor, 32 reachability)
    Attempt 243 -> Valid: 210/500 (Rejects: 0 corridor, 33 reachability)
    Attempt 253 -> Valid: 220/500 (Rejects: 0 corridor, 33 reachability)
