Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,5.7,94.3,0.0
random,2,4.6,95.39999999999999,0.0
random,3,7.000000000000001,93.0,0.0
random,4,6.4,93.60000000000001,0.0
random,5,4.75,95.25,0.0
random,6,5.1499999999999995,94.85,0.0
random,7,7.199999999999999,92.80000000000001,0.0
random,8,6.2,93.8,0.0
random,9,4.8,95.19999999999999,0.0
random,10,5.949999999999999,94.05,0.0
clustered,1,0.15,99.85000000000001,0.0
clustered,2,0.0,100.0,0.0
clustered,3,0.0,100.0,0.0
clustered,4,0.3,99.7,0.0
clustered,5,0.35000000000000003,99.65,0.0
clustered,6,0.65,99.35000000000001,0.0
clustered,7,0.0,100.0,0.0
clustered,8,0.05,99.95,0.0
clustered,9,0.1,99.9,0.0
clustered,10,0.65,99.35000000000001,0.0
