Episode,Successes,Collisions,Timeouts,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
1,0,10,0,9,12.457433367433753,3.8401110899904918,40,random,1
2,0,10,0,8,6.899714872780887,6.241017049720092,39,random,1
3,4,6,0,7,4.063812618589919,9.37849892467695,51,random,1
4,0,10,0,10,11.564892769439533,8.974940621759021,40,random,1
5,0,10,0,15,2.62322621577853,15.703933761411841,48,random,1
6,0,10,0,8,12.547430894522257,3.1328210957231466,46,random,1
7,0,10,0,13,13.890037795166425,5.622789358807001,34,random,1
8,0,10,0,11,10.771998404073585,14.75554074483922,54,random,1
9,0,10,0,19,11.824040521450202,16.87583216776465,53,random,1
10,0,10,0,10,11.838084473030166,4.633194003894518,42,random,1
11,1,9,0,11,8.308103777875251,4.8094795512124335,52,random,1
12,0,10,0,9,12.490893861289594,8.171849383417424,52,random,1
13,0,10,0,8,2.427669651539869,14.684741150906063,48,random,1
14,0,10,0,10,10.912617476109373,2.882733814864846,44,random,1
15,0,10,0,10,5.708790798057667,13.235396393841647,47,random,1
16,1,9,0,11,12.040183492333671,4.2300242540572714,53,random,1
17,0,10,0,9,15.418176367586476,13.315035180970527,49,random,1
18,0,10,0,8,3.8005678126198905,16.72727775811963,67,random,1
19,0,10,0,15,3.2954799004353905,17.11844289150371,41,random,1
20,0,10,0,7,7.182709004611256,3.882759913539223,35,random,1
21,0,10,0,8,14.143248745542369,4.667701081915151,37,random,1
22,0,10,0,8,13.20445739483696,15.950969439073962,38,random,1
23,0,10,0,9,4.188855745496948,17.691236460513558,48,random,1
24,0,10,0,11,16.625116689335258,12.08113943989051,33,random,1
25,0,10,0,12,12.363059690591651,17.95061727796117,40,random,1
26,0,10,0,12,11.635977406099705,11.847448815505222,48,random,1
27,2,8,0,6,7.626350917355039,15.451730288721938,58,random,1
28,0,10,0,21,3.752052054999071,11.63976847312989,62,random,1
29,0,10,0,11,13.53155246739179,3.9132603493899847,36,random,1
30,0,10,0,8,2.6566376806420546,8.556313280520493,58,random,1
31,0,10,0,7,9.281019540101275,8.317557310470725,56,random,1
32,0,10,0,11,2.016287537601155,6.10125776787179,57,random,1
33,0,10,0,10,8.836506694067022,10.949758711869803,47,random,1
34,0,10,0,10,9.7909251417056,11.39767374803655,42,random,1
35,0,10,0,8,14.89407341904565,9.279737543761843,27,random,1
36,0,10,0,11,2.202560550102495,13.905023825628254,29,random,1
37,0,10,0,15,14.156299499195475,9.465808211626028,43,random,1
38,0,10,0,7,11.542640284225039,13.933921716157013,43,random,1
39,0,10,0,13,14.87093588805202,17.65417632853883,47,random,1
40,0,10,0,12,9.27297575824253,14.550568534840842,39,random,1
41,0,10,0,14,15.28435442042852,9.618269347453355,53,random,1
42,6,4,0,9,2.346755898181252,11.02251120223359,55,random,1
43,0,10,0,5,7.125013978785979,4.318956029032993,51,random,1
44,0,10,0,12,10.820566035596134,17.32092101425878,42,random,1
45,0,10,0,12,3.852045372948247,8.101211534717766,57,random,1
46,0,10,0,8,14.072900940531287,10.561479142345204,42,random,1
47,0,10,0,8,2.0282348666478516,4.29778080140183,49,random,1
48,0,10,0,7,14.836661777486427,16.70409737895011,51,random,1
49,0,10,0,7,11.044451914718529,10.7326732693197,50,random,1
50,3,7,0,8,14.004076851613831,15.520759280510838,45,random,1
51,3,7,0,8,16.666353567638176,4.13737271695754,44,random,1
52,0,10,0,7,10.109741122176116,3.259210752653578,59,random,1
53,0,10,0,8,12.648244141731341,8.094657829985039,50,random,1
54,0,10,0,10,12.308701764612328,3.825550278557248,42,random,1
55,0,10,0,10,15.610437837586169,5.96159251945754,49,random,1
56,6,4,0,17,7.732166617054981,3.643667554269939,51,random,1
57,0,10,0,7,8.113781576293666,5.697143753607088,60,random,1
58,0,10,0,10,7.556802012990765,14.200454777017656,45,random,1
59,3,7,0,8,4.679947384485329,8.389478423910454,50,random,1
60,0,10,0,11,7.629978900563193,16.366467114023827,54,random,1
61,6,4,0,9,11.029643463074319,2.351461813805294,51,random,1
62,0,10,0,9,8.65534813731614,2.083998090166416,41,random,1
63,0,10,0,9,11.51019861983805,7.928683709602527,44,random,1
64,0,10,0,5,7.094471538282091,5.706173606302983,48,random,1
65,0,10,0,7,7.071416888541437,16.460031481408585,48,random,1
66,0,10,0,11,2.4494851614634907,10.034085458619897,39,random,1
67,5,5,0,16,7.71228360998472,11.066486847202151,54,random,1
68,0,10,0,11,3.479303428486327,17.686007196931634,41,random,1
69,3,7,0,9,16.562059425593674,16.811382657729748,45,random,1
70,0,10,0,10,6.627846679883081,11.78813813250673,49,random,1
71,0,10,0,9,5.334100353776817,3.4518720158519134,55,random,1
72,0,10,0,8,8.968050174265146,17.786088387864325,60,random,1
73,1,9,0,26,13.807755380457602,15.102852974477468,51,random,1
74,0,10,0,8,6.989049380128366,6.712622976772142,53,random,1
75,0,10,0,10,12.177740902225306,9.760625551855183,53,random,1
76,0,10,0,12,13.237014914657314,14.476258809510508,47,random,1
77,0,10,0,6,17.2361345430269,17.0470518231407,46,random,1
78,0,10,0,10,11.041306171938542,10.450425151159827,45,random,1
79,0,10,0,6,5.925052206751129,13.575685322859028,47,random,1
80,2,8,0,9,7.603970299514728,11.890674070076258,51,random,1
81,0,10,0,12,9.08656240840656,10.661003567905315,39,random,1
82,0,10,0,10,7.71151507512266,3.4492356215669115,40,random,1
83,7,3,0,13,9.918038052513886,11.382573999697785,49,random,1
84,0,10,0,10,4.956225843176018,16.185987576300274,46,random,1
85,0,10,0,9,3.930641060551366,12.493237425259904,53,random,1
86,0,10,0,14,7.81857582482237,11.93778606269131,58,random,1
87,0,10,0,10,13.94694388594992,16.742962625947058,53,random,1
88,4,6,0,8,4.63242821008226,12.626396125725378,42,random,1
89,0,10,0,7,7.778880846346095,12.03770152962469,69,random,1
90,0,10,0,8,11.452350428116624,8.26798198266894,39,random,1
91,0,10,0,8,4.514988117094552,2.2466279354245238,52,random,1
92,0,10,0,10,7.249672651705705,9.87862445458824,60,random,1
93,0,10,0,8,3.9370840322544787,13.222059360995377,69,random,1
94,0,10,0,19,9.382507524516033,16.206266058123745,55,random,1
95,4,6,0,9,15.115717286815448,17.6458456932949,43,random,1
96,0,10,0,10,9.064846170295526,8.011611096549046,54,random,1
97,0,10,0,16,8.820449138756237,11.903700656481918,58,random,1
98,0,10,0,13,17.027468467292152,16.135118390020377,41,random,1
99,0,10,0,18,9.72234214274029,6.295169298734432,44,random,1
100,0,10,0,11,9.470319842614236,10.762015244837025,41,random,1
101,0,10,0,9,4.759091960916919,9.855144211777832,44,random,1
102,0,10,0,11,15.297412220232193,15.741445168466369,33,random,1
103,7,3,0,10,6.883032037193191,14.944398355663795,42,random,1
104,0,10,0,8,4.130181381551264,12.135547807304949,42,random,1
105,0,10,0,12,10.98193566743297,8.772919407272532,56,random,1
106,0,10,0,8,10.701470638305526,8.673710950792584,54,random,1
