comm_range,comm_label,density,success_rate,timeout_rate,drone_collision_rate,total_collision_rate,mean_steps_success
8.0,8_lidar,0.2,0.9555,0.02,0.009,0.0245,81.83621140763998
8.0,8_lidar,0.3,0.911,0.0565,0.009,0.0325,84.60318331503842
