comm_range,comm_label,density,success_rate,timeout_rate,drone_collision_rate,total_collision_rate,mean_steps_success
0.0,0_nocong,0.2,0.9395,0.032,0.01,0.0285,76.84193720063864
0.0,0_nocong,0.3,0.891,0.0585,0.027,0.0505,78.95903479236813
