comm_range,comm_label,density,success_rate,timeout_rate,total_collision_rate,mean_steps_success
5.0,5,0.2,0.956,0.0305,0.0135,80.99581589958159
5.0,5,0.3,0.907,0.062,0.031,84.8632855567806
