Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,6.102,15.884,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_1,8.716,14.726,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_2,8.598,15.775,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_3,7.316,15.793,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_4,8.066,16.492,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_5,7.050,16.412,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_6,7.678,14.117,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_7,7.421,14.685,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_8,7.040,14.050,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
0,drone_9,6.630,14.505,1.963,2.486,"9.133746878134643,13.818003572797325,0.6855444246775468;9.456773335746435,9.545233249223473,0.6851783851329905;12.899845941889643,8.64746834633417,1.0275837679936883;14.238167669913548,10.335812803387821,1.0783546492030516;13.907554219122938,4.8824940607654055,2.4016750288222113;4.565089452597208,9.8214899510025,2.4319449807572107;16.557286384094787,2.570517563964886,1.1526704716089406;8.304012386977062,8.49673844574919,0.48565793014882125;17.52595797486271,8.69315700172436,2.171277846798742;4.250433948040805,12.613570932336133,2.4061636416103447"
