Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,2.637,13.237,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_1,18.499,4.385,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_2,2.264,7.937,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_3,5.335,2.427,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_4,15.778,6.905,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_5,5.308,3.579,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_6,8.728,4.705,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_7,17.835,2.509,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_8,16.726,1.962,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
0,drone_9,14.068,13.895,7.318,2.356,"3.0352763286870434,4.53138777724453,2.1071268523587445;12.404913506064801,17.74619140104957,0.6042106489082661;18.166979852925195,15.642371455542508,1.0744015610350937;5.497437938316059,6.65747395575642,0.4440063062032256;10.127199967457043,18.732404862575155,0.8103938393338107;1.5082517122149184,9.731233174313337,0.38387848805747615;11.421440495704172,6.545106680043631,1.5572024430017173;11.342026965282649,10.377823157202778,2.165894267366374;12.979670801691663,7.451688640000174,1.134639307482795;6.334398059525335,15.131313888357813,2.422483832649809;9.131710925282752,14.390540652402303,2.4420422704903477"
