density,n_maps,pct_all10_clean,clean_wilson_lo,clean_wilson_hi,n_clean,pct_all10_allmaps,allmaps_wilson_lo,allmaps_wilson_hi,avg_drone_ok,pct_first_attempt_solvable,avg_obs_count,mean_radius,nominal_density,true_density,pct_blocked_start,verdict,seconds
0.2,100,100.0,93.88685202159081,100.0,59,59.0,49.20125056109662,68.13284290433533,93.3,64.0,21.42,0.9253704063057893,0.21261952055037678,0.18858475,41.0,BORDERLINE,18.42040205001831
0.25,100,100.0,92.58973488472576,99.99999999999999,48,48.0,38.46438432008055,57.683594909823455,90.6,55.0,26.13,0.9340438750706979,0.2632061301300984,0.22532775000000002,52.0,BORDERLINE,22.73401165008545
0.26,100,100.0,92.44398288016113,100.0,47,47.0,37.51065198210374,56.71131686275227,90.7,54.0,27.01,0.9350114030451602,0.27195536704656037,0.23131924999999998,53.0,BORDERLINE,27.57338571548462
0.27,100,100.0,92.86499658256812,100.0,50,50.0,40.38298285901472,59.61701714098528,91.0,53.0,28.03,0.9332099637023616,0.28098253842966353,0.23747343750000002,50.0,BORDERLINE,26.0581955909729
0.28,100,100.0,92.58973488472576,99.99999999999999,48,48.0,38.46438432008055,57.683594909823455,90.5,53.0,29.09,0.9313167113460207,0.28998094069360325,0.24404168749999997,52.0,BORDERLINE,29.855515480041504
0.29,100,100.0,92.44398288016113,100.0,47,47.0,37.51065198210374,56.71131686275227,90.4,52.0,30.5,0.9271239908139245,0.3018761398490309,0.252113125,53.0,BORDERLINE,30.056107759475708
0.3,100,100.0,92.13457380593594,100.0,45,45.0,35.614375106403465,54.75557296835656,90.2,51.0,31.73,0.9232939586155439,0.3121159589180693,0.25873168750000003,55.0,BORDERLINE,29.49428629875183
