Episode,Successes,Collisions,Timeouts,Throughput,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
61,0,10,0,0.0,50,17.0,17.0,95,random,1
62,0,10,0,0.0,60,17.0,17.0,79,random,1
63,1,9,0,1.3888888888888888,72,17.0,17.0,65,random,1
64,1,9,0,1.4705882352941175,68,17.0,17.0,73,random,1
65,0,10,0,0.0,58,17.0,17.0,97,random,1
66,0,10,0,0.0,36,17.0,17.0,86,random,1
67,0,10,0,0.0,51,17.0,17.0,69,random,1
68,0,10,0,0.0,47,17.0,17.0,64,random,1
69,0,10,0,0.0,70,17.0,17.0,56,random,1
70,0,10,0,0.0,66,17.0,17.0,80,random,1
71,0,10,0,0.0,64,17.0,17.0,72,random,1
72,0,10,0,0.0,54,17.0,17.0,69,random,1
73,0,10,0,0.0,37,17.0,17.0,65,random,1
74,0,10,0,0.0,43,17.0,17.0,62,random,1
75,1,9,0,1.7543859649122806,57,17.0,17.0,62,random,1
76,0,10,0,0.0,40,17.0,17.0,57,random,1
77,0,10,0,0.0,41,17.0,17.0,93,random,1
78,0,10,0,0.0,48,17.0,17.0,87,random,1
79,0,10,0,0.0,60,17.0,17.0,61,random,1
80,0,10,0,0.0,63,17.0,17.0,59,random,1
81,0,10,0,0.0,48,17.0,17.0,89,random,1
82,0,10,0,0.0,66,17.0,17.0,75,random,1
83,0,10,0,0.0,56,17.0,17.0,86,random,1
84,3,7,0,2.7027027027027026,111,17.0,17.0,73,random,1
85,0,10,0,0.0,43,17.0,17.0,74,random,1
86,0,10,0,0.0,53,17.0,17.0,85,random,1
87,0,10,0,0.0,42,17.0,17.0,79,random,1
88,0,10,0,0.0,59,17.0,17.0,75,random,1
89,3,7,0,3.896103896103896,77,17.0,17.0,63,random,1
90,0,10,0,0.0,62,17.0,17.0,72,random,1
91,0,10,0,0.0,53,17.0,17.0,77,random,1
92,0,10,0,0.0,58,17.0,17.0,72,random,1
93,2,7,1,0.25,800,17.0,17.0,91,random,1
94,0,10,0,0.0,28,17.0,17.0,70,random,1
95,2,8,0,3.076923076923077,65,17.0,17.0,62,random,1
96,0,10,0,0.0,45,17.0,17.0,92,random,1
97,0,9,1,0.0,800,17.0,17.0,83,random,1
98,1,9,0,2.2222222222222223,45,17.0,17.0,87,random,1
99,0,10,0,0.0,38,17.0,17.0,54,random,1
100,1,9,0,1.8181818181818181,55,17.0,17.0,93,random,1
1,1,9,0,1.5625,64,17.0,17.0,44,clustered,1
2,0,10,0,0.0,61,17.0,17.0,54,clustered,1
3,3,7,0,3.488372093023256,86,17.0,17.0,52,clustered,1
4,5,4,1,0.625,800,17.0,17.0,37,clustered,1
5,3,6,1,0.375,800,17.0,17.0,44,clustered,1
6,6,3,1,0.75,800,17.0,17.0,37,clustered,1
7,0,10,0,0.0,49,17.0,17.0,43,clustered,1
8,1,9,0,1.4492753623188406,69,17.0,17.0,57,clustered,1
9,0,10,0,0.0,36,17.0,17.0,57,clustered,1
10,0,10,0,0.0,37,17.0,17.0,46,clustered,1
11,0,10,0,0.0,61,17.0,17.0,43,clustered,1
12,3,6,1,0.375,800,17.0,17.0,49,clustered,1
13,0,10,0,0.0,38,17.0,17.0,43,clustered,1
14,0,10,0,0.0,33,17.0,17.0,74,clustered,1
15,0,10,0,0.0,36,17.0,17.0,54,clustered,1
16,0,10,0,0.0,22,17.0,17.0,51,clustered,1
17,0,10,0,0.0,36,17.0,17.0,37,clustered,1
18,3,7,0,4.3478260869565215,69,17.0,17.0,47,clustered,1
19,3,7,0,5.454545454545454,55,17.0,17.0,42,clustered,1
20,0,10,0,0.0,67,17.0,17.0,46,clustered,1
21,0,10,0,0.0,33,17.0,17.0,36,clustered,1
22,6,4,0,9.090909090909092,66,17.0,17.0,47,clustered,1
23,0,10,0,0.0,90,17.0,17.0,49,clustered,1
24,0,10,0,0.0,35,17.0,17.0,44,clustered,1
25,0,10,0,0.0,50,17.0,17.0,38,clustered,1
26,1,8,1,0.125,800,17.0,17.0,48,clustered,1
27,3,6,1,0.375,800,17.0,17.0,38,clustered,1
