Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,16.595,15.354,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_1,2.099,5.422,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_2,2.260,10.363,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_3,12.300,7.682,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_4,15.959,16.946,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_5,15.945,15.754,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_6,18.759,8.182,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_7,14.499,12.536,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_8,15.820,9.975,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
0,drone_9,12.291,2.072,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
1,drone_0,16.495,15.254,6.594,5.503,"11.261013404963148,16.741473076477668,2.2508781941024765;8.38770712673773,13.766269250983454,2.450490864039656;9.140529329416703,9.077300814450414,1.5557631230891606;10.52537356377718,4.9359783644492685,0.9899392899228416;11.264777146980846,2.954445474997155,0.45136649110130483;2.4572467439254044,11.743569237220914,0.9972895847687573;2.211514578106796,17.6899026218806,1.3015617481377408;16.994280001140726,3.558206488124686,0.38685728948480225;13.2110104280596,10.282123505475157,2.3782108032077325;5.080752742387303,9.731020355324683,1.964882179914842"
