Episode,Successes,Collisions,Timeouts,Throughput,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
1,5,3,2,0.625,800,17.0,17.0,7,random,1
2,5,4,1,0.625,800,17.0,17.0,7,random,1
3,4,5,1,0.5,800,17.0,17.0,7,random,1
4,3,5,2,0.375,800,17.0,17.0,7,random,1
5,4,5,1,0.5,800,17.0,17.0,7,random,1
1,2,7,1,0.25,800,17.0,17.0,7,clustered,1
2,0,9,1,0.0,800,17.0,17.0,7,clustered,1
3,1,7,2,0.125,800,17.0,17.0,7,clustered,1
4,2,8,0,1.9607843137254901,102,17.0,17.0,7,clustered,1
5,6,3,1,0.75,800,17.0,17.0,7,clustered,1
