Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_4,2.5271,4.3643,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_5,5.0314,4.3643,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_6,4.2710,3.6854,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_7,2.9746,3.2288,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_8,3.1363,5.1092,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
2,drone_9,3.5767,4.1584,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_0,4.2089,5.0390,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_1,4.1537,2.9929,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_2,3.2538,2.3407,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_3,5.1938,2.4396,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_4,2.6302,4.5356,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_5,5.1841,4.4935,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_6,4.4151,3.8241,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_7,3.1537,3.3179,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_8,3.2741,5.2541,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
3,drone_9,3.7630,4.2310,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_0,4.3597,5.1704,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_1,4.3393,3.0673,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_2,3.4185,2.4543,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
