Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,13.541,15.271,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_1,11.483,12.229,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_2,18.830,13.586,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_3,14.880,18.907,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_4,1.309,17.966,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_5,14.134,9.889,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_6,18.350,7.519,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_7,18.453,5.272,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_8,16.119,11.872,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
0,drone_9,18.096,16.920,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_0,13.441,15.171,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_1,11.383,12.129,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_2,18.730,13.486,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_3,14.780,18.807,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_4,1.409,17.866,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_5,14.034,9.789,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_6,18.250,7.419,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_7,18.353,5.203,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_8,16.019,11.772,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
1,drone_9,17.996,16.820,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
2,drone_0,13.300,15.029,6.859,4.868,"2.2515924802714995,7.294151690864114,1.6832500413383307;3.6178206833747932,13.66555047164395,2.0173855078874823;10.816437520168337,18.566703321010795,0.2247860925795711;13.32590054408619,6.202780902064108,0.43837693907230724;2.6068943431275775,7.828024071950059,1.9711174142759007;6.057043501815371,16.04295014460368,2.3771937901664115;13.890309766803115,5.197644160319689,2.4744993393995003;12.380173329156396,1.9990935019265244,1.923892349586303"
