Width,Height,Density,d_min,Successes,Collisions,Timeouts,Drone_Success_Rate,Episode_Success_Rate,Difficulty_Score,Collision_Rate,Timeout_Rate,Mean_Episode_Length,Mean_Time_To_Goal,Mean_Escape_Triggers
20.0,20.0,0.15,4.0,16,0,4,0.8,0.0,0.19999999999999996,0.0,0.2,230.35,8.79375,0.0
20.0,20.0,0.15,8.0,10,0,10,0.5,0.5,0.5,0.0,0.5,466.3,13.260000000000002,0.0
