comm_range,comm_label,density,success_rate,timeout_rate,total_collision_rate,mean_steps_success
3.0,3,0.2,0.952,0.027,0.021,81.05147058823529
3.0,3,0.3,0.914,0.057,0.029,82.47210065645514
