comm_label,density,success_rate,timeout_rate,drone_collision_rate,total_collision_rate,mean_steps_success
8_nocong_evaltime,0.2,0.9605,0.0255,0.004,0.014,85.05205622071837
8_nocong_evaltime,0.3,0.912,0.0605,0.01,0.0275,85.90241228070175
