Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,1.6,98.4,0.0
clustered,1,0.0,100.0,0.0
random,2,2.0,98.0,0.0
clustered,2,0.0,100.0,0.0
random,3,1.9,98.1,0.0
clustered,3,0.0,100.0,0.0
random,4,2.0,98.0,0.0
clustered,4,0.0,100.0,0.0
random,5,1.9,98.1,0.0
clustered,5,0.0,100.0,0.0
