Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,3.5999999999999996,96.39999999999999,0.0
clustered,1,0.0,100.0,0.0
random,2,3.6999999999999997,96.3,0.0
clustered,2,0.0,100.0,0.0
random,3,3.8,96.2,0.0
clustered,3,0.0,100.0,0.0
random,4,3.5999999999999996,96.39999999999999,0.0
clustered,4,0.0,100.0,0.0
random,5,3.5000000000000004,96.5,0.0
clustered,5,0.0,100.0,0.0
