Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,89.0,2.8000000000000003,8.200000000000001
random,2,92.60000000000001,2.9000000000000004,4.5
random,3,89.60000000000001,2.4,8.0
random,4,91.5,2.3,6.2
random,5,91.5,3.5999999999999996,4.9
clustered,1,94.1,1.7999999999999998,4.1000000000000005
clustered,2,94.8,3.3000000000000003,1.9
clustered,3,89.8,2.1,8.1
clustered,4,93.30000000000001,3.3000000000000003,3.4000000000000004
clustered,5,93.5,3.0,3.5000000000000004
