Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,80.10000000000001,9.0,10.9
random,2,80.10000000000001,9.6,10.299999999999999
random,3,79.80000000000001,7.8,12.4
random,4,78.3,9.0,12.7
random,5,81.10000000000001,9.0,9.9
clustered,1,85.6,9.5,4.9
clustered,2,80.80000000000001,11.5,7.7
clustered,3,80.9,11.899999999999999,7.199999999999999
clustered,4,84.89999999999999,10.100000000000001,5.0
clustered,5,85.1,10.8,4.1000000000000005
