stage,obs_goal_clearance,obs_sc_clearance,spawn_obstacle_clearance,sc_goal_min_dist,goal_spawn_clearance,bfs_clearance,inter_drone_min,spawn_mode,density,pct_all10_ok,avg_drone_ok,clean_drone_successes,total_clean_maps,total_discarded,total_fallbacks,avg_fallback_rate,avg_actual_density,avg_obs_count,infeasible,recommended_ceiling,ceiling_reason
1,1.0,1.5,0.4,5.0,1.0,0.4,0.5,scattered,0.1,100.0,10.0,450,45,5,0,0.0,0.11002069444444444,12.177777777777777,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.5,scattered,0.15,100.0,10.0,450,45,5,0,0.0,0.16025319444444444,18.666666666666668,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.5,scattered,0.2,100.0,10.0,430,43,7,0,0.0,0.2092889534883721,24.558139534883722,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.5,scattered,0.25,92.85714285714286,9.857142857142858,414,42,8,0,0.0,0.2575264880952381,31.5,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.5,scattered,0.3,65.85365853658537,9.073170731707316,372,41,9,0,0.0,0.3080939024390244,40.02439024390244,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.5,scattered,0.35,50.0,8.394736842105264,319,38,12,0,0.0,0.35886825657894744,49.63157894736842,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.2,scattered,0.1,100.0,10.0,450,45,5,0,0.0,0.11002069444444444,12.177777777777777,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.2,scattered,0.15,100.0,10.0,450,45,5,0,0.0,0.16025319444444444,18.666666666666668,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.2,scattered,0.2,100.0,10.0,430,43,7,0,0.0,0.2092889534883721,24.558139534883722,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.2,scattered,0.25,92.85714285714286,9.857142857142858,414,42,8,0,0.0,0.2575264880952381,31.5,False,0.25,below_90pct
1,1.0,1.5,0.4,5.0,1.0,0.4,0.2,scattered,0.3,65.85365853658537,9.073170731707316,372,41,9,0,0.0,0.3080939024390244,40.02439024390244,False,0.25,below_90pct
