density,segment,dims,baseline,ablated_success,drop
0.2,vel,0:2,19.333333333333332,14.333333333333334,4.999999999999998
0.2,goal_dir,2:4,19.333333333333332,3.6666666666666665,15.666666666666666
0.2,goal_dist,4:5,19.333333333333332,16.666666666666668,2.6666666666666643
0.2,yaw,5:6,19.333333333333332,19.333333333333332,0.0
0.2,lidar,6:54,19.333333333333332,8.333333333333334,10.999999999999998
0.2,neighbors,54:99,19.333333333333332,14.666666666666666,4.666666666666666
0.2,congestion,99:100,19.333333333333332,15.0,4.333333333333332
0.2,sync,100:120,19.333333333333332,14.0,5.333333333333332
0.2,trajectory,120:130,19.333333333333332,17.333333333333332,2.0
0.2,SHARED_MAP,130:178,19.333333333333332,24.0,-4.666666666666668
0.3,vel,0:2,10.333333333333334,9.333333333333334,1.0
0.3,goal_dir,2:4,10.333333333333334,0.3333333333333333,10.0
0.3,goal_dist,4:5,10.333333333333334,10.333333333333334,0.0
0.3,yaw,5:6,10.333333333333334,10.333333333333334,0.0
0.3,lidar,6:54,10.333333333333334,4.666666666666667,5.666666666666667
0.3,neighbors,54:99,10.333333333333334,10.333333333333334,0.0
0.3,congestion,99:100,10.333333333333334,12.333333333333334,-2.0
0.3,sync,100:120,10.333333333333334,7.333333333333333,3.000000000000001
0.3,trajectory,120:130,10.333333333333334,10.666666666666666,-0.33333333333333215
0.3,SHARED_MAP,130:178,10.333333333333334,9.0,1.333333333333334
