density,lidar,collab,nearest_only,success,coll,coll_obstacle,coll_drone,timeout,config
0.2,5.0,False,False,77.0,23.0,13.666666666666666,9.333333333333334,0.0,short_l5
0.2,12.0,False,False,92.0,2.6666666666666665,2.0,0.6666666666666666,5.333333333333333,full_l12
0.2,5.0,True,False,91.66666666666667,2.6666666666666665,1.3333333333333333,1.3333333333333333,5.666666666666667,full_l5
0.2,5.0,True,True,92.33333333333333,2.0,1.3333333333333333,0.6666666666666666,5.666666666666667,restricted_l5
0.3,5.0,False,False,84.66666666666667,15.333333333333334,10.666666666666666,4.666666666666667,0.0,short_l5
0.3,5.0,True,True,93.0,3.6666666666666665,3.0,0.6666666666666666,3.3333333333333335,restricted_l5
0.3,5.0,True,False,94.33333333333333,3.3333333333333335,2.6666666666666665,0.6666666666666666,2.3333333333333335,full_l5
0.3,12.0,False,False,95.0,2.6666666666666665,2.6666666666666665,0.0,2.3333333333333335,full_l12
