density,config,success,coll,coll_obstacle,coll_drone,timeout
0.2,full_blind,88.0,10.666666666666666,10.0,0.6666666666666666,1.3333333333333333
0.2,k=1_to_neighbor,49.666666666666664,50.333333333333336,49.666666666666664,0.6666666666666666,0.0
0.2,k=1_to_ego,52.0,48.0,46.666666666666664,1.3333333333333333,0.0
0.2,k=2_to_neighbor,60.0,40.0,38.666666666666664,1.3333333333333333,0.0
0.2,k=2_to_ego,71.33333333333333,28.666666666666668,26.0,2.6666666666666665,0.0
0.2,k=3_to_neighbor,71.33333333333333,28.666666666666668,28.666666666666668,0.0,0.0
0.2,k=3_to_ego,82.0,17.333333333333332,15.333333333333334,2.0,0.6666666666666666
