TargetDensity,ActualDensity,SolvabilityRate,CI_95,AvgPathLength,AvgTortuosity
0.1,0.11144452083333334,1.0,1.96e-06,11.33266009318993,1.060634485618059
0.15,0.16119343750000004,1.0,1.96e-06,11.77337918903172,1.0715353733697328
0.2,0.20955250000000003,1.0,1.96e-06,11.583017115793883,1.080032000399681
0.25,0.25922893750000003,1.0,1.96e-06,11.683398405369648,1.101544484222173
0.28,0.2885770416666667,0.99,0.011259342787214542,12.08829975268262,1.122376248031367
0.3,0.30881281250000003,0.99,0.011259342787214542,12.098224760139699,1.1410942816721368
0.32,0.32879822916666673,0.9933333333333333,0.009208678676279431,12.762758448666636,1.1620095478717734
0.35,0.3581707500000001,0.98,0.015842491386563337,12.73336537531676,1.181019542238906
0.4,0.4073735,0.9266666666666666,0.02949904304788108,13.131300276063024,1.2133099459333951
0.45,0.45643479166666673,0.8066666666666666,0.04468850941879886,12.914080943254584,1.2354592317617021
0.5,0.5061125000000001,0.6333333333333333,0.05453148597794638,12.632614938744505,1.2209543663409517
