Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,15.497,14.459,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_1,13.215,13.268,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_2,14.987,13.533,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_3,13.874,13.302,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_4,13.949,15.500,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_5,14.594,14.063,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_6,15.804,15.675,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_7,13.141,14.600,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_8,16.022,15.058,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
0,drone_9,15.618,13.730,3.069,7.911,"15.844172855190322,9.47053819443763,1.0325513974052365;11.476912095870274,8.894697954917188,2.0239067640143844;5.946011957205658,2.6937490591022093,0.39095889912090687;9.524529286046203,12.222433074547341,1.505331936686133;1.4805064159692098,10.751970022442183,1.2176192101798202;15.830833091046038,8.884270306792057,1.7641896600135718;16.387591102184782,9.549101617269216,1.3098756887711671;7.183674862077272,11.98573648625296,2.4595810813379737;9.298791412579668,2.7658296754816427,2.3877270707520557"
