Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,15.662,8.232,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_1,15.873,1.734,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_2,7.613,7.770,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_3,3.126,12.282,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_4,1.345,16.353,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_5,12.051,7.874,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_6,10.207,10.056,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_7,14.089,2.720,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_8,16.023,14.417,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
0,drone_9,5.356,13.591,15.117,11.207,"15.972610330604843,4.45022075851806,0.2595689413871255;7.234223297703551,4.428684428966738,2.480122701499879;6.793209226250398,5.853109632780902,0.4192003435257474;9.310225494311084,3.337524463777481,2.2381309618667338;3.2346281570860156,3.0522011150230606,1.9767738433177862;6.319862265229812,2.717613520571692,2.2272834415156866;10.91630888959117,12.699152350583793,2.065009006325735;2.87982562449685,8.661211290875483,1.0751808552175608"
