Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,80.2,4.0,15.8
clustered,1,82.19999999999999,5.7,12.1
random,2,82.15,5.65,12.2
clustered,2,87.25,4.2,8.55
random,3,76.2,4.95,18.85
clustered,3,77.7,6.8500000000000005,15.45
random,4,75.1,5.7,19.2
clustered,4,80.05,7.7,12.25
random,5,78.14999999999999,6.25,15.6
clustered,5,82.39999999999999,6.7,10.9
random,6,82.69999999999999,4.15,13.15
clustered,6,85.3,5.1499999999999995,9.55
random,7,80.5,4.3,15.2
clustered,7,85.05,5.3,9.65
random,8,80.85,3.9,15.25
clustered,8,83.45,6.15,10.4
random,9,80.80000000000001,4.15,15.049999999999999
clustered,9,86.7,5.25,8.05
random,10,82.95,4.45,12.6
clustered,10,86.4,4.95,8.649999999999999
