Mode,Fold,Success_Rate,Collision_Rate,Timeout_Rate
random,1,86.9,3.4000000000000004,9.700000000000001
random,2,84.6,3.5000000000000004,11.899999999999999
random,3,89.4,2.8000000000000003,7.8
random,4,87.8,4.8,7.3999999999999995
random,5,83.6,4.5,11.899999999999999
clustered,1,82.3,5.1,12.6
clustered,2,89.4,3.5000000000000004,7.1
clustered,3,89.3,5.0,5.7
clustered,4,88.2,5.5,6.3
clustered,5,85.1,5.0,9.9
