Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,15.4337,5.7169,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_1,4.9933,9.2603,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_2,18.8458,3.3605,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_3,13.6585,7.7201,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_4,9.7818,6.5024,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_5,7.2445,14.3301,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_6,8.3449,15.2366,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_7,5.9498,16.7518,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_8,5.5905,2.3232,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
0,drone_9,18.3067,1.8254,17.0000,17.0000,"13.912,19.309,1.305;9.013,2.112,0.380;15.210,0.907,0.327;6.688,4.848,0.694;11.370,14.589,0.813;12.823,4.379,0.801;15.338,14.002,0.330;8.678,11.020,0.456;16.304,7.812,0.380;11.622,5.715,0.256;0.231,16.909,0.385;3.257,3.901,1.062;13.540,12.087,0.420;8.221,11.258,1.512;3.138,16.704,0.436;3.954,18.764,0.322;13.730,10.917,0.300;2.386,15.644,1.313;10.511,18.020,0.383;1.333,11.118,1.154;11.598,11.112,2.050;9.631,17.580,0.603;12.365,11.559,2.179;2.853,2.794,1.073;11.448,1.547,0.446;11.870,1.832,0.447;7.616,2.477,0.321;16.046,12.565,0.777;2.097,16.840,1.245;10.625,17.216,0.326;19.306,9.275,0.405;4.911,14.127,0.624;14.325,14.543,1.089;1.254,11.237,2.378;12.549,18.858,0.403;14.134,3.291,0.384;1.577,6.301,0.848;4.688,19.447,0.715;19.075,9.878,0.384;4.533,6.735,0.473;1.583,8.572,0.712;15.929,2.426,0.348;12.697,0.693,0.448;12.286,18.530,2.200;12.767,15.369,0.473;17.130,14.258,0.415;11.200,3.447,0.377;2.367,3.778,0.908;5.283,13.422,0.232;19.235,8.777,0.921;15.433,12.826,0.951;10.732,13.988,0.448;17.164,19.524,0.212;13.173,2.917,0.342;4.177,12.229,0.981;7.900,19.451,0.261;17.124,7.650,0.255;15.182,1.482,0.295;1.600,15.483,0.636;12.606,15.047,0.773;18.932,11.854,0.761;17.358,7.803,0.945;12.331,3.110,0.895;18.964,9.639,0.477;5.046,5.606,0.344;9.386,1.986,0.241;4.410,13.115,0.408;15.046,9.486,0.275;11.700,17.171,1.201;4.868,13.562,0.427;15.715,1.901,0.788;2.195,1.758,0.280;12.754,5.143,0.978;13.454,1.280,1.331;16.770,3.318,0.399;3.893,4.928,0.929;6.827,10.421,0.410;3.885,6.868,0.391;0.975,5.945,1.526;0.463,15.765,0.248;2.553,4.688,1.175;11.182,12.221,1.121;10.819,18.765,1.046;2.290,18.421,1.213;14.016,11.700,0.712;17.026,11.787,1.286;8.439,1.803,1.197"
