Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,11.1583,1.3954,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_1,2.9702,18.8772,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_2,7.9042,8.3617,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_3,7.8554,7.4374,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_4,12.6478,10.0412,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_5,6.9351,12.0391,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_6,8.0647,15.7538,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_7,18.0791,7.9857,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_8,7.4766,3.1337,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
0,drone_9,16.4940,4.4602,17.0000,17.0000,"11.352,6.495,1.968;2.746,9.314,0.423;12.501,18.471,1.147;3.976,1.225,0.375;11.357,18.648,0.737;7.315,18.374,0.441;2.059,14.761,0.215;18.663,0.168,0.242;9.324,19.089,0.859;11.915,15.419,1.258;12.560,14.014,0.249;4.728,8.111,0.207;15.904,13.872,0.411;1.788,1.310,0.301;19.712,10.053,0.310;3.309,14.225,0.838;2.598,10.178,0.637;3.860,4.689,2.205;10.295,11.679,0.468;3.721,7.743,1.326;12.155,17.276,0.261;0.692,2.482,0.275;13.119,4.739,1.020;2.814,6.747,2.213;2.948,2.575,1.240;3.210,10.568,0.336;16.705,1.792,0.943;1.503,8.254,0.609;13.829,14.472,0.383;4.974,2.809,0.275;13.541,13.770,0.456;3.906,15.297,0.220;19.375,3.213,0.487;10.584,9.891,0.320;12.948,13.087,0.748;15.075,13.061,0.288;2.887,11.147,1.805;7.311,19.432,0.238;2.279,11.258,2.091;13.699,2.089,0.427;19.233,14.335,0.475;18.515,1.495,0.349;6.875,5.061,0.235;2.345,6.192,2.294;6.599,14.312,0.305;1.407,7.960,2.027;13.789,16.374,0.234;14.570,11.845,0.924;2.917,15.021,0.216;19.611,2.981,0.426;5.433,15.658,0.451;2.116,15.929,0.717;1.941,11.160,2.169;1.307,13.780,0.234;3.291,9.646,2.410;12.814,3.572,0.495;7.016,14.045,0.220;13.389,18.608,0.906;11.961,14.242,0.678;0.756,2.010,0.789;10.266,12.423,0.329;3.052,0.710,0.441;18.921,1.641,1.377;19.653,17.212,0.215;2.435,12.466,1.053;17.218,1.728,1.163;11.887,3.642,0.455;4.473,0.304,0.212;1.686,16.224,0.395;2.813,1.830,0.630;2.131,2.309,1.926;2.164,13.413,0.391;3.114,4.603,2.207;17.287,11.583,0.355;5.254,14.595,1.117;10.223,5.531,0.803;1.868,3.438,1.204;12.777,4.918,0.907;2.410,0.328,0.211;17.869,11.052,0.334;5.209,17.192,0.445;11.186,18.943,1.097;4.518,15.011,1.325;14.343,19.556,0.485;5.441,8.217,0.304;18.565,14.110,0.716;1.711,13.030,1.294;19.167,15.224,0.219;0.467,9.658,0.487;9.683,10.865,0.413;10.586,14.907,0.485;13.947,14.154,0.342;19.169,13.919,1.384;18.247,19.631,0.354;16.629,11.455,1.929"
