Timestamp,Script,Episodes,Success Rate (%),Crash Obstacle (%),Crash Wall (%),Timeout (%)
2026-02-09 03:59:29,evaluate_1k.py,1000,92.60,4.50,0.00,2.90
2026-02-09 14:48:56,evaluate_1m.py,1000000,93.25,1.88,0.00,4.86
